"","stat.Text","stat.label"
"822","FirstDaysThis short video shows some of the executive orders PresidentTrump signed in his first DaysTheTr","neutral"
"823","Dont ever forget the lifestyle PresidentTrump gave up to MAGA not mention his family He did it for usFirstDays T","negative"
"824","Dont ever forget the lifestyle PresidentTrump gave up to MAGA not mention his family He did it for usFirstDays T","negative"
"825","FirstDaysThis short video shows some of the executive orders PresidentTrump signed in his first DaysTheTr","neutral"
"826","So how long are we going to have to back up a compulsive liar and a traitorwhyiresist PresidentTrump","negative"
"827","PresidentTrump please repair the WhiteHouseLogo by replacing Obamas WhiteFlagOfSurrender with the STARSandSTRIPES","neutral"
"828","PresidentTrump We will make AmericaSafeAgainwe will MAGAThank youGodblessyouAmericaIsBackAmericaFirs","neutral"
"829","PresidentTrump please repair the WhiteHouseLogo by replacing Obamas WhiteFlagOfSurrender with the STARSandSTRIPES","neutral"
"830","PresidentTrump please repair the WhiteHouseLogo by replacing Obamas WhiteFlagOfSurrender with the STARSandSTRIPES","neutral"
"831","Dear God
Thank you for answering our prayers
A grateful NationGodBlessAmerica PresidentTrump ElectionDay","positive"
"832","Dont ever forget the lifestyle PresidentTrump gave up to MAGA not mention his family He did it for usFirstDays T","negative"
"833","Dont ever forget the lifestyle PresidentTrump gave up to MAGA not mention his family He did it for usFirstDays T","negative"
"834","Looks like funrally for PresidentTrump in Israel","positive"
"835","Dear God
Thank you for answering our prayers
A grateful NationGodBlessAmerica PresidentTrump ElectionDay","positive"
"836","Dont ever forget the lifestyle PresidentTrump gave up to MAGA not mention his family He did it for usFirstDays T","negative"
"837","Weve reached the first days of PresidentTrump and Im ever so grateful that this thingisnt anyones President","positive"
"838","Dont ever forget the lifestyle PresidentTrump gave up to MAGA not mention his family He did it for usFirstDays T","negative"
"839","Weve reached the first days of PresidentTrump and Im ever so grateful that this thingisnt anyones President","positive"
"840","PresidentTrump please repair the WhiteHouseLogo by replacing Obamas WhiteFlagOfSurrender with the STARSandSTRIPES","neutral"
"841","PresidentTrump please repair the WhiteHouseLogo by replacing Obamas WhiteFlagOfSurrender with the STARSandSTRIPES","neutral"
"842","Dont ever forget the lifestyle PresidentTrump gave up to MAGA not mention his family He did it for usFirstDays T","negative"
"843","PresidentTrump please repair the WhiteHouseLogo by replacing Obamas WhiteFlagOfSurrender with the STARSandSTRIPES","neutral"
"844","MTPresidentTrump Speaks From USS Gerald Ford Hats off to our wonderful militaryvets HhOa","positive"
"845","Dont ever forget the lifestyle PresidentTrump gave up to MAGA not mention his family He did it for usFirstDays T","negative"
"846","Dont ever forget the lifestyle PresidentTrump gave up to MAGA not mention his family He did it for usFirstDays T","negative"
"847","Dont ever forget the lifestyle PresidentTrump gave up to MAGA not mention his family He did it for usFirstDays T","negative"
"848","Dont ever forget the lifestyle PresidentTrump gave up to MAGA not mention his family He did it for usFirstDays T","negative"
"849","Dont ever forget the lifestyle PresidentTrump gave up to MAGA not mention his family He did it for usFirstDays T","negative"
"850","Dont ever forget the lifestyle PresidentTrump gave up to MAGA not mention his family He did it for usFirstDays T","negative"
"851","FirstDaysThis short video shows some of the executive orders PresidentTrump signed in his first DaysTheTr","neutral"
"852","The yr assault on your nd Amendment freedoms has come to a crashing endPresidentTrumpMAGA Trump A","neutral"
"853","PresidentTrump We will make AmericaSafeAgainwe will MAGAThank youGodblessyouAmericaIsBackAmericaFirs","neutral"
"854","Dont ever forget the lifestyle PresidentTrump gave up to MAGA not mention his family He did it for usFirstDays T","negative"
"855","Dear God
Thank you for answering our prayers
A grateful NationGodBlessAmerica PresidentTrump ElectionDay","positive"
"856","Weve reached the first days of PresidentTrump and Im ever so grateful that this thingisnt anyones President","positive"
"857","Dear God
Thank you for answering our prayers
A grateful NationGodBlessAmerica PresidentTrump ElectionDay","positive"
"858","Dont ever forget the lifestyle PresidentTrump gave up to MAGA not mention his family He did it for usFirstDays T","negative"
"859","Dont ever forget the lifestyle PresidentTrump gave up to MAGA not mention his family He did it for usFirstDays T","negative"
"860","Dont ever forget the lifestyle PresidentTrump gave up to MAGA not mention his family He did it for usFirstDays T","negative"
"861","Dont ever forget the lifestyle PresidentTrump gave up to MAGA not mention his family He did it for usFirstDays T","negative"
"862","Dont ever forget the lifestyle PresidentTrump gave up to MAGA not mention his family He did it for usFirstDays T","negative"
"863","Dont ever forget the lifestyle PresidentTrump gave up to MAGA not mention his family He did it for usFirstDays T","negative"
"864","Dont ever forget the lifestyle PresidentTrump gave up to MAGA not mention his family He did it for usFirstDays T","negative"
"865","Dont ever forget the lifestyle PresidentTrump gave up to MAGA not mention his family He did it for usFirstDays T","negative"
"866","Lets get back to work America
PresidentTrumps daysAmericaIsBackAmericaFirst","positive"
"867","The yr assault on your nd Amendment freedoms has come to a crashing endPresidentTrumpMAGA Trump A","neutral"
"868","FirstDaysThis short video shows some of the executive orders PresidentTrump signed in his first DaysTheTr","neutral"
"869","Dont ever forget the lifestyle PresidentTrump gave up to MAGA not mention his family He did it for usFirstDays T","negative"
"870","Dont ever forget the lifestyle PresidentTrump gave up to MAGA not mention his family He did it for usFirstDays T","negative"
"871","Dont ever forget the lifestyle PresidentTrump gave up to MAGA not mention his family He did it for usFirstDays T","negative"
"872","Dear God
Thank you for answering our prayers
A grateful NationGodBlessAmerica PresidentTrump ElectionDay","positive"
"873","Dont ever forget the lifestyle PresidentTrump gave up to MAGA not mention his family He did it for usFirstDays T","negative"
"874","Dont ever forget the lifestyle PresidentTrump gave up to MAGA not mention his family He did it for usFirstDays T","negative"
"875","Dear God
Thank you for answering our prayers
A grateful NationGodBlessAmerica PresidentTrump ElectionDay","positive"
"876","Funny thingcant completeyears of work in his stdaysWHCD trumpdays PresidentTrump","neutral"
"877","FirstDaysThis short video shows some of the executive orders PresidentTrump signed in his first DaysTheTr","neutral"
"878","Dear God
Thank you for answering our prayers
A grateful NationGodBlessAmerica PresidentTrump ElectionDay","positive"
"879","Dont ever forget the lifestyle PresidentTrump gave up to MAGA not mention his family He did it for usFirstDays T","negative"
"880","Dont ever forget the lifestyle PresidentTrump gave up to MAGA not mention his family He did it for usFirstDays T","negative"
"881","PresidentTrump We will make AmericaSafeAgainwe will MAGAThank youGodblessyouAmericaIsBackAmericaFirs","neutral"
"882","Dont ever forget the lifestyle PresidentTrump gave up to MAGA not mention his family He did it for usFirstDays T","negative"
"883","Dont ever forget the lifestyle PresidentTrump gave up to MAGA not mention his family He did it for usFirstDays T","negative"
"884","Dont ever forget the lifestyle PresidentTrump gave up to MAGA not mention his family He did it for usFirstDays T","negative"
"885","Dont ever forget the lifestyle PresidentTrump gave up to MAGA not mention his family He did it for usFirstDays T","negative"
"886","Dont ever forget the lifestyle PresidentTrump gave up to MAGA not mention his family He did it for usFirstDays T","negative"
"887","Weve reached the first days of PresidentTrump and Im ever so grateful that this thingisnt anyones President","positive"
"888","The Growing Role Of US Defense Secretary Mattis In President Trumps Administration
WIFCXLykzN","neutral"
"889","The yr assault on your nd Amendment freedoms has come to a crashing endPresidentTrumpMAGA Trump A","neutral"
"890","Looks like funrally for PresidentTrump in Israel","positive"
"891","Dont ever forget the lifestyle PresidentTrump gave up to MAGA not mention his family He did it for usFirstDays T","negative"
"892","PresidentTrumps accomplishments thus far for the USA is out there for all to see Hes k wSXNPZdO","positive"
"893","SpecialElection MAGAThis Tuesday SCElect The Candidate Supporting PresidentTrump","positive"
"894","Dear God
Thank you for answering our prayers
A grateful NationGodBlessAmerica PresidentTrump ElectionDay","positive"
"895","We LOVEourhe is OneOfAKind Keep up the GOOD WORK PresidentTrump FirstDays TrumpRally HarrisburgPA htt","positive"
"896","PresidentTrump We will make AmericaSafeAgainwe will MAGAThank youGodblessyouAmericaIsBackAmericaFirs","neutral"
"897","Dont ever forget the lifestyle PresidentTrump gave up to MAGA not mention his family He did it for usFirstDays T","negative"
"898","Dont ever forget the lifestyle PresidentTrump gave up to MAGA not mention his family He did it for usFirstDays T","negative"
"899","Dont ever forget the lifestyle PresidentTrump gave up to MAGA not mention his family He did it for usFirstDays T","negative"
"900","Dont ever forget the lifestyle PresidentTrump gave up to MAGA not mention his family He did it for usFirstDays T","negative"
"901","Weve reached the first days of PresidentTrump and Im ever so grateful that this thingisnt anyones President","positive"
"902","Dont ever forget the lifestyle PresidentTrump gave up to MAGA not mention his family He did it for usFirstDays T","negative"
"903","FirstDaysThis short video shows some of the executive orders PresidentTrump signed in his first DaysTheTr","neutral"
"904","PresidentTrump We will make AmericaSafeAgainwe will MAGAThank youGodblessyouAmericaIsBackAmericaFirs","neutral"
"905","Dont ever forget the lifestyle PresidentTrump gave up to MAGA not mention his family He did it for usFirstDays T","negative"
"906","Dont ever forget the lifestyle PresidentTrump gave up to MAGA not mention his family He did it for usFirstDays T","negative"
"907","Weve reached the first days of PresidentTrump and Im ever so grateful that this thingisnt anyones President","positive"
"908","Dont ever forget the lifestyle PresidentTrump gave up to MAGA not mention his family He did it for usFirstDays T","negative"
"909","Dont ever forget the lifestyle PresidentTrump gave up to MAGA not mention his family He did it for usFirstDays T","negative"
"910","Dear God
Thank you for answering our prayers
A grateful NationGodBlessAmerica PresidentTrump ElectionDay","positive"
"911","Dont ever forget the lifestyle PresidentTrump gave up to MAGA not mention his family He did it for usFirstDays T","negative"
"912","Weve reached the first days of PresidentTrump and Im ever so grateful that this thingisnt anyones President","positive"
"913","Dont ever forget the lifestyle PresidentTrump gave up to MAGA not mention his family He did it for usFirstDays T","negative"
"914","SpecialElection MAGAThis Tuesday SCElect The Candidate Supporting PresidentTrump","positive"
"915","Weve reached the first days of PresidentTrump and Im ever so grateful that this thingisnt anyones President","positive"
"916","Dont ever forget the lifestyle PresidentTrump gave up to MAGA not mention his family He did it for usFirstDays T","negative"
"917","Dont ever forget the lifestyle PresidentTrump gave up to MAGA not mention his family He did it for usFirstDays T","negative"
"918","The yr assault on your nd Amendment freedoms has come to a crashing endPresidentTrumpMAGA Trump A","neutral"
"919","Dont ever forget the lifestyle PresidentTrump gave up to MAGA not mention his family He did it for usFirstDays T","negative"
"920","The yr assault on your nd Amendment freedoms has come to a crashing endPresidentTrumpMAGA Trump A","neutral"
"921","Dont ever forget the lifestyle PresidentTrump gave up to MAGA not mention his family He did it for usFirstDays T","negative"
"922","Dont ever forget the lifestyle PresidentTrump gave up to MAGA not mention his family He did it for usFirstDays T","negative"
"923","Dont ever forget the lifestyle PresidentTrump gave up to MAGA not mention his family He did it for usFirstDays T","negative"
"924","Dont ever forget the lifestyle PresidentTrump gave up to MAGA not mention his family He did it for usFirstDays T","negative"
"925","FirstDaysThis short video shows some of the executive orders PresidentTrump signed in his first DaysTheTr","neutral"
"926","Dont ever forget the lifestyle PresidentTrump gave up to MAGA not mention his family He did it for usFirstDays T","negative"
"927","Dont ever forget the lifestyle PresidentTrump gave up to MAGA not mention his family He did it for usFirstDays T","negative"
"928","Lets get back to work America
PresidentTrumps daysAmericaIsBackAmericaFirst","positive"
"929","Dont ever forget the lifestyle PresidentTrump gave up to MAGA not mention his family He did it for usFirstDays T","negative"
"930","Dont ever forget the lifestyle PresidentTrump gave up to MAGA not mention his family He did it for usFirstDays T","negative"
"931","Dont ever forget the lifestyle PresidentTrump gave up to MAGA not mention his family He did it for usFirstDays T","negative"
"932","The yr assault on your nd Amendment freedoms has come to a crashing endPresidentTrumpMAGA Trump A","neutral"
"933","WATCH PresidentTrumpAndAre FakeNews Crowd Chants CNN SUCKS TRUMP BoycottCNN MSNBC","neutral"
"934","PresidentTrump We will make AmericaSafeAgainwe will MAGAThank youGodblessyouAmericaIsBackAmericaFirs","neutral"
"935","Dont ever forget the lifestyle PresidentTrump gave up to MAGA not mention his family He did it for usFirstDays T","negative"
"936","Dont ever forget the lifestyle PresidentTrump gave up to MAGA not mention his family He did it for usFirstDays T","negative"
"937","Dear God
Thank you for answering our prayers
A grateful NationGodBlessAmerica PresidentTrump ElectionDay","positive"
"938","Dear God
Thank you for answering our prayers
A grateful NationGodBlessAmerica PresidentTrump ElectionDay","positive"
"939","Dear Democrats you deserve so much better than thismaga TrumpRally PresidentTrump WHCD OXBtnhtGJH","positive"
"940","Weve reached the first days of PresidentTrump and Im ever so grateful that this thingisnt anyones President","positive"
"941","Dont ever forget the lifestyle PresidentTrump gave up to MAGA not mention his family He did it for usFirstDays T","negative"
"942","PresidentTrump We will make AmericaSafeAgainwe will MAGAThank youGodblessyouAmericaIsBackAmericaFirs","neutral"
"943","Dont ever forget the lifestyle PresidentTrump gave up to MAGA not mention his family He did it for usFirstDays T","negative"
"944","The yr assault on your nd Amendment freedoms has come to a crashing endPresidentTrumpMAGA Trump A","neutral"
"945","The yr assault on your nd Amendment freedoms has come to a crashing endPresidentTrumpMAGA Trump A","neutral"
"946","So how long are we going to have to back up a compulsive liar and a traitorwhyiresist PresidentTrump","negative"
"947","Dear God
Thank you for answering our prayers
A grateful NationGodBlessAmerica PresidentTrump ElectionDay","positive"
"948","Weve reached the first days of PresidentTrump and Im ever so grateful that this thingisnt anyones President","positive"
"949","Dont ever forget the lifestyle PresidentTrump gave up to MAGA not mention his family He did it for usFirstDays T","negative"
"950","SpecialElection MAGAThis Tuesday SCElect The Candidate Supporting PresidentTrump","positive"
"951","LikelikeStrongerTogetherAmericanSpiritMakingAmericaGreatAgain TrumpTrain Nationalist LRbOPmEG","neutral"
"952","Weve reached the first days of PresidentTrump and Im ever so grateful that this thingisnt anyones President","positive"
"953","FirstDaysThis short video shows some of the executive orders PresidentTrump signed in his first DaysTheTr","neutral"
"954","Dont ever forget the lifestyle PresidentTrump gave up to MAGA not mention his family He did it for usFirstDays T","negative"
"955","The yr assault on your nd Amendment freedoms has come to a crashing endPresidentTrumpMAGA Trump A","neutral"
"956","PresidentTrump We will make AmericaSafeAgainwe will MAGAThank youGodblessyouAmericaIsBackAmericaFirs","neutral"
"957","Dont ever forget the lifestyle PresidentTrump gave up to MAGA not mention his family He did it for usFirstDays T","negative"
"958","FirstDaysThis short video shows some of the executive orders PresidentTrump signed in his first DaysTheTr","neutral"
"959","Dont ever forget the lifestyle PresidentTrump gave up to MAGA not mention his family He did it for usFirstDays T","negative"
"960","Dont ever forget the lifestyle PresidentTrump gave up to MAGA not mention his family He did it for usFirstDays T","negative"
"961","Dont ever forget the lifestyle PresidentTrump gave up to MAGA not mention his family He did it for usFirstDays T","negative"
"962","Lets get back to work America
PresidentTrumps daysAmericaIsBackAmericaFirst","positive"
"963","Dont ever forget the lifestyle PresidentTrump gave up to MAGA not mention his family He did it for usFirstDays T","negative"
"964","PresidentTrump We will make AmericaSafeAgainwe will MAGAThank youGodblessyouAmericaIsBackAmericaFirs","neutral"
"965","FirstDaysThis short video shows some of the executive orders PresidentTrump signed in his first DaysTheTr","neutral"
"966","Dont ever forget the lifestyle PresidentTrump gave up to MAGA not mention his family He did it for us iNSUgRzkev","negative"
"967","FirstDaysThis short video shows some of the executive orders PresidentTrump signed in his first DaysTheTr","neutral"
"968","PresidentTrump We will make AmericaSafeAgainwe will MAGAThank youGodblessyouAmericaIsBackAmericaFirs","neutral"
"969","PresidentTrump We will make AmericaSafeAgainwe will MAGAThank youGodblessyouAmericaIsBackAmericaFirs","neutral"
"970","Dear God
Thank you for answering our prayers
A grateful NationGodBlessAmerica PresidentTrump ElectionDay","positive"
"971","PresidentTrump We will make AmericaSafeAgainwe will MAGAThank youGodblessyouAmericaIsBackAmericaFirs","neutral"
"972","Dear God
Thank you for answering our prayers
A grateful NationGodBlessAmerica PresidentTrump ElectionDay","positive"
"973","SpecialElection MAGAThis Tuesday SCElect The Candidate Supporting PresidentTrump","positive"
"974","WATCH PresidentTrumpAndAre FakeNews Crowd Chants CNN SUCKS TRUMP BoycottCNN MSNBC","neutral"
"975","Is PresidentTrump Betraying populism Some Say YesXvdxCGLsdrainthesw Assange stephenbannon","negative"
"976","PresidentTrumpat NRAconventionyear assault on gun rights is overTrumpAmericaIsBackAAmericaFirst","negative"
"977","WATCH PresidentTrumpAndAre FakeNews Crowd Chants CNN SUCKS TRUMP BoycottCNN MSNBCdPTGLGgBD","neutral"
"978","FirstDaysThis short video shows some of the executive orders PresidentTrump signed in his first DaysTheTr","neutral"
"979","PresidentTrump We will make AmericaSafeAgainwe will MAGAThank youGodblessyouAmericaIsBackAmericaFirs","neutral"
"980","Lets get back to work America
PresidentTrumps daysAmericaIsBackAmericaFirst","positive"
"981","Weve reached the first days of PresidentTrump and Im ever so grateful that this thingisnt anyones President","positive"
"982","Dear God
Thank you for answering our prayers
A grateful NationGodBlessAmerica PresidentTrump ElectionDay","positive"
"983","Dear God
Thank you for answering our prayers
A grateful NationGodBlessAmerica PresidentTrump ElectionDay","positive"
"984","We LOVEourhe is OneOfAKind Keep up the GOOD WORK PresidentTrump FirstDays TrumpRally pOKAPQPDBC","positive"
"985","PresidentTrump We will make AmericaSafeAgainwe will MAGAThank youGodblessyouAmericaIsBackAmericaFirs","neutral"
"986","PresidentTrump We will make AmericaSafeAgainwe will MAGAThank youGodblessyouAmericaIsBackAmericaFirs","neutral"
"987","Breaks my heart PresidentTrump is skipping VFN Correspondents Dinner to go to a rally for the peopleNOTLove","negative"
"988","Another crock from the Daily Chaos PresidentTrump tUWhYYBKHl","negative"
"989","The yr assault on your nd Amendment freedoms has come to a crashing endPresidentTrumpMAGA Trump A","neutral"
"990","PresidentTrump We will make AmericaSafeAgainwe will MAGAThank youGodblessyouAmericaIsBackAmericaFirs","neutral"
"991","Ten Best Things About Trumps FirstDays in Office iOQmRTua PresidentTrump Not perfect but a good start tcot MAGA","positive"
"992","PresidentTrump should have more rallies Hell yeah","negative"
"993","Love ITSounds like a good timeI know I would have enjoyed being with other like minded patriot PMIShffZe","positive"
"994","Weve reached the first days of PresidentTrump and Im ever so grateful that this thingisnt anyones President","positive"
"995","Dear God
Thank you for answering our prayers
A grateful NationGodBlessAmerica PresidentTrump ElectionDay","positive"
"996","Congratulations PresidentTrump on your Firstdays We are so proud of you in every way
AmericaFirst Nationalist","positive"
"997","PresidentTrump We will make AmericaSafeAgainwe will MAGAThank youGodblessyouAmericaIsBackAmericaFirs","neutral"
"998","PresidentTrump We will make AmericaSafeAgainwe will MAGAThank youGodblessyouAmericaIsBackAmericaFirs","neutral"
"999","Dear God
Thank you for answering our prayers
A grateful NationGodBlessAmerica PresidentTrump ElectionDay","positive"
"1000","The yr assault on your nd Amendment freedoms has come to a crashing endPresidentTrumpMAGA Trump A","neutral"
"1001","PresidentTrump We will make AmericaSafeAgainwe will MAGAThank youGodblessyouAmericaIsBackAmericaFirs","neutral"
"1002","Weve reached the first days of PresidentTrump and Im ever so grateful that this thingisnt anyones President","positive"
"1003","The yr assault on your nd Amendment freedoms has come to a crashing endPresidentTrumpMAGA Trump A","neutral"
"1004","The yr assault on your nd Amendment freedoms has come to a crashing endPresidentTrumpMAGA Trump A","neutral"
"1005","PresidentTrump We will make AmericaSafeAgainwe will MAGAThank youGodblessyouAmericaIsBackAmericaFirs","neutral"
"1006","MTPresidentTrump Speaks From USS Gerald Ford Hats off to our wonderful militaryvets quFcx","positive"
"1007","PresidentTrump We will make AmericaSafeAgainwe will MAGAThank youGodblessyouAmericaIsBackAmericaFirs","neutral"
"1008","PresidentTrump We will make AmericaSafeAgainwe will MAGAThank youGodblessyouAmericaIsBackAmericaFirs","neutral"
"1009","PresidentTrumpCNN and MSNBC are fakenews Crowd ChantsCNNSUCKSXeMYUOH","neutral"
"1010","I was crying watching him walk out I couldnt be prouder of PresidentTrump Thank you Harrisburg Pen","positive"
"1011","That means it was a great speech LOLPresidentTrump MAGA SsexqKmT","positive"
"1012","PresidentTrump We will make AmericaSafeAgainwe will MAGAThank youGodblessyouAmericaIsBackAmericaFirs","neutral"
"1013","PresidentTrump We will make AmericaSafeAgainwe will MAGAThank youGodblessyouAmericaIsBackAmericaFirs","neutral"
"1014","PresidentTrump We will make AmericaSafeAgainwe will MAGAThank youGodblessyouAmericaIsBackAmericaFirs","neutral"
"1015","Lets get back to work America
PresidentTrumps daysAmericaIsBackAmericaFirst","positive"
"1016","PresidentTrump We will make AmericaSafeAgainwe will MAGAThank youGodblessyouAmericaIsBackAmericaFirs","neutral"
"1017","PresidentTrump We will make AmericaSafeAgainwe will MAGAThank youGodblessyouAmericaIsBackAmericaFirs","neutral"
"1018","EightYear Assault on Gun Rights Is Over according to Trump iPaeqxRuc NRAAM PresidentTrump gunrights","neutral"
"1019","SpecialElection MAGAThis Tuesday SCElect The Candidate Supporting PresidentTrump","positive"
"1020","Thank you for having our PresidentTrumps back zUiROXaU","positive"
"1021","Im loving what the EPA is doing Shout out to the cunts in office epa fdt PresidentTrump MarchForScience trumpsajoke earthisfucked","neutral"
"1022","AMERICASTRONGPresidentTrump making America STRONGER than ever We support POTUSMAGA TrumpStrong USAF","positive"
"1023","Weve reached the first days of PresidentTrump and Im ever so grateful that this thingisnt anyones President","positive"
"1024","The yr assault on your nd Amendment freedoms has come to a crashing endPresidentTrumpMAGA Trump A","neutral"
"1025","PresidentTrump We will make AmericaSafeAgainwe will MAGAThank youGodblessyouAmericaIsBackAmericaFirs","neutral"
"1026","PresidentTrump We will make AmericaSafeAgainwe will MAGAThank youGodblessyouAmericaIsBackAmericaFirs","neutral"
"1027","FirstDaysThis short video shows some of the executive orders PresidentTrump signed in his first DaysTheTr","neutral"
"1028","PresidentTrump We will make AmericaSafeAgainwe will MAGAThank youGodblessyouAmericaIsBackAmericaFirs","neutral"
"1029","Congrats PresidentTrump on your firstdays Maybe thats enough right","positive"
"1030","PresidentTrump We will make AmericaSafeAgainwe will MAGAThank youGodblessyouAmericaIsBackAmericaFirs","neutral"
"1031","FirstDaysThis short video shows some of the executive orders PresidentTrump signed in his first DaysTheTr","neutral"
"1032","Interesting Both Sides Are So Different CNN FOXNewsUS TrumpRally News trumpdays Trump PresidentTrump","positive"
"1033","PresidentTrump We will make AmericaSafeAgainwe will MAGAThank youGodblessyouAmericaIsBackAmericaFirs","neutral"
"1034","That means it was a great speech LOLPresidentTrump MAGA SsexqKmT","positive"
"1035","Weve reached the first days of PresidentTrump and Im ever so grateful that this thingisnt anyones President","positive"
"1036","But we know you are doing an amazing job Keep it up we love everything youre doing Ronald Reagan would be proud zIluoBgZfd","positive"
"1037","Weve reached the first days of PresidentTrump and Im ever so grateful that this thingisnt anyones President","positive"
"1038","PresidentTrump We will make AmericaSafeAgainwe will MAGAThank youGodblessyouAmericaIsBackAmericaFirs","neutral"
"1039","FirstDaysThis short video shows some of the executive orders PresidentTrump signed in his first DaysTheTr","neutral"
"1040","PresidentTrump We will make AmericaSafeAgainwe will MAGAThank youGodblessyouAmericaIsBackAmericaFirs","neutral"
"1041","PresidentTrump We will make AmericaSafeAgainwe will MAGAThank youGodblessyouAmericaIsBackAmericaFirs","neutral"
"1042","Lets get back to work America
PresidentTrumps daysAmericaIsBackAmericaFirst","positive"
"1043","If Trump is now your President then this is no your countryEmLloytPresidentTrump TrumpTrain http","neutral"
"1044","PresidentTrump chose his people his base over the media celebsfake politicians We love youdeeply apprec","positive"
"1045","PresidentTrump We will make AmericaSafeAgainwe will MAGAThank youGodblessyouAmericaIsBackAmericaFirs","neutral"
"1046","PresidentTrump We will make AmericaSafeAgainwe will MAGAThank youGodblessyouAmericaIsBackAmericaFirs","neutral"
"1047","Weve reached the first days of PresidentTrump and Im ever so grateful that this thingisnt anyones President","positive"
"1048","FirstDaysThis short video shows some of the executive orders PresidentTrump signed in his first DaysTheTr","neutral"
"1049","Dear God
Thank you for answering our prayers
A grateful NationGodBlessAmerica PresidentTrump ElectionDay","positive"
"1050","PresidentTrump We will make AmericaSafeAgainwe will MAGAThank youGodblessyouAmericaIsBackAmericaFirs","neutral"
"1051","PresidentTrump celebrates day mark with Pa rally zyWoQab","neutral"
"1052","PresidentTrump We will make AmericaSafeAgainwe will MAGAThank youGodblessyouAmericaIsBackAmericaFirs","neutral"
"1053","PresidentTrump We will make AmericaSafeAgainwe will MAGAThank youGodblessyouAmericaIsBackAmericaFirs","neutral"
"1054","FirstDaysThis short video shows some of the executive orders PresidentTrump signed in his first DaysTheTr","neutral"
"1055","Congratulations PresidentTrump on your Firstdays We are so proud of you in every way
AmericaFirst Nationalist","positive"
"1056","FirstDaysThis short video shows some of the executive orders PresidentTrump signed in his first DaysTheTr","neutral"
"1057","PresidentTrump injects a dark note at TrumpRally by reading poem The Snake to underscore his points about border security MAGA tcot","negative"
"1058","PresidentTrump has proven hes a man of his word Hes keeping every one of his caign promises one by one So awesome","positive"
"1059","The left will never accept PresidentTrump no matter how hard he tries Hillary lost and theyre deva ziGqxJioc","negative"
"1060","Dear God
Thank you for answering our prayers
A grateful NationGodBlessAmerica PresidentTrump ElectionDay","positive"
"1061","Interesting Both Sides Are So Different CNN FOXNewsUS TrumpRally News trumpdays Trump PresidentTrump","positive"
"1062","FirstDaysThis short video shows some of the executive orders PresidentTrump signed in his first DaysTheTr","neutral"
"1063","I Made My PromiseKeep My Promise
PresidentTrumpFeds to BEAT IT Returns by Taylor cJTjfjUoN","neutral"
"1064","Interesting Both Sides Are So Different CNN FOXNewsUS TrumpRally News trumpdays Trump PresidentTrump","positive"
"1065","Interesting Both Sides Are So Different CNN FOXNewsUS TrumpRally News trumpdays Trump PresidentTrump","positive"
"1066","Weve reached the first days of PresidentTrump and Im ever so grateful that this thingisnt anyones President","positive"
"1067","Weve reached the first days of PresidentTrump and Im ever so grateful that this thingisnt anyones President","positive"
"1068","FirstDaysThis short video shows some of the executive orders PresidentTrump signed in his first DaysTheTr","neutral"
"1069","FirstDaysThis short video shows some of the executive orders PresidentTrump signed in his first DaysTheTr","neutral"
"1070","PresidentTrump We will make AmericaSafeAgainwe will MAGAThank youGodblessyouAmericaIsBackAmericaFirs","neutral"
"1071","Weve reached the first days of PresidentTrump and Im ever so grateful that this thingisnt anyones President","positive"
"1072","Weve reached the first days of PresidentTrump and Im ever so grateful that this thingisnt anyones President","positive"
"1073","PresidentTrump We will make AmericaSafeAgainwe will MAGAThank youGodblessyouAmericaIsBackAmericaFirs","neutral"
"1074","Breaks my heart PresidentTrump is skipping VFN Correspondents Dinner to go to a rally for the peopleNOTLove","negative"
"1075","FirstDaysThis short video shows some of the executive orders PresidentTrump signed in his first DaysTheTr","neutral"
"1076","Dear God
Thank you for answering our prayers
A grateful NationGodBlessAmerica PresidentTrump ElectionDay","positive"
"1077","I Made My PromiseKeep My Promise
PresidentTrumpFeds to BEAT IT Returns Education to the STATES Aboli","neutral"
"1078","Weve reached the first days of PresidentTrump and Im ever so grateful that this thingisnt anyones President","positive"
"1079","PresidentTrump We will make AmericaSafeAgainwe will MAGAThank youGodblessyouAmericaIsBackAmericaFirs","neutral"
"1080","PresidentTrump We will make AmericaSafeAgainwe will MAGAThank youGodblessyouAmericaIsBackAmericaFirs","neutral"
"1081","The Ceremony PresidentTrump FirstDays xICeIrcuD","neutral"
"1082","AMERICASTRONGPresidentTrump making America STRONGER than ever We support POTUSMAGA TrumpStrong USAF","positive"
"1083","Fortunately PresidentTrump is already removing the Regulation barriers from business sooVApnp","positive"
"1084","Weve reached the first days of PresidentTrump and Im ever so grateful that this thingisnt anyones President","positive"
"1085","FirstDaysThis short video shows some of the executive orders PresidentTrump signed in his first DaysTheTr","neutral"
"1086","THE TRUMPINATOR
PresidentTrump
Lets MAGAPPQRWraMn","neutral"
"1087","Dear God
Thank you for answering our prayers
A grateful NationGodBlessAmerica PresidentTrump ElectionDay","positive"
"1088","PresidentTrump We will make AmericaSafeAgainwe will MAGAThank youGodblessyouAmericaIsBackAmericaFirs","neutral"
"1089","MAGA PresidentTrump NeverthelessShePersisted
What Congressional Democrats have done THEIR FirstDays ofoCOcxx","neutral"
"1090","Weve reached the first days of PresidentTrump and Im ever so grateful that this thingisnt anyones President","positive"
